Productos Principales;;;;;;;;;;;;;;
Cod;Nombre;Orientación;Piso;M2 Producto;M2 terreno;Modelo;Programa;Estado;P. Lista;P. Venta;UF/M2;Superficie Util;Superficie Terraza;Superficie Total
10;101;S;1;54,86;0;D;2D+2B;Disponible;3182;--;--;54,86;--;54,86
11;102;S;1;72,14;0;A;3D+2B;Bloqueado;3192;--;--;66;6,14;72,14
12;103;N;1;71,23;0;A;3D+2B;Disponible;4321;--;--;66;5,23;71,23
13;104;N;1;69,03;0;A;3D+2B;Bloqueado;3814;--;--;64;5,03;69,03
14;105;N;1;64,8;0;A;3D+2B;Disponible;3931;--;--;59,8;5;64,8
15;201;O-S;2;54,8;0;B;2D+2B;Promesado;2992;2992;54,6;48,19;6,61;54,8
16;202;S;2;54,78;0;B;2D+2B;Promesado;2272;2272;41,47;48,25;6,53;54,78
85;203;S;2;55,04;0;B;2D+2B;Promesado;2390;2390;43,42;48,5;6,54;55,04
17;204;S;2;54,56;0;B;2D+2B;Promesado;2580;2580;47,29;48,5;6,06;54,56
18;205;N-P;2;62,62;0;B;2D+2B;Promesado;2600;2600;41,52;54,12;8,5;62,62
86;206;N;2;54,55;0;B;2D+2B;Promesado;2219;2219;40,68;48,53;6,02;54,55
87;207;N;2;53,87;0;B;2D+2B;Bloqueado;2990;--;--;47,89;5,98;53,87
19;208;N;2;43;0;C;2D+2B;Promesado;2365;2365;55;43;--;43
88;209;N;2;53,99;0;B;2D+2B;Promesado;2580;2580;47,79;47,97;6,02;53,99
20;210;N-O;2;57,73;0;B;2D+2B;Promesado;2581;2581;44,71;48,67;9,06;57,73
29;408;N;2;43;0;C;2D+2B;Promesado;2064;2064;48;43;--;43
21;301;O-S;3;54,8;0;B;2D+2B;Promesado;2688;2688;49,05;48,19;6,61;54,8
22;302;S;3;54,78;0;B;2D+2B;Disponible;2990;--;--;48,25;6,53;54,78
23;303;S;3;55,04;0;B;2D+2B;Disponible;2990;--;--;48,5;6,54;55,04
89;304;S;3;54,56;0;B;2D+2B;Bloqueado;3124;--;--;48,5;6,06;54,56
90;305;N-P;3;62,62;0;B;2D+2B;Escriturado;2393;2393;38,21;54,12;8,5;62,62
91;306;N;3;54,55;0;B;2D+2B;Bloqueado;3265;--;--;48,53;6,02;54,55
92;307;N;3;53,87;0;B;2D+2B;Bloqueado;3124;--;--;47,89;5,98;53,87
101;308;N;3;43;0;B;2D+2B;Promesado;2021;2021;47;43;--;43
93;309;N;3;53,99;0;B;2D+2B;Promesado;2753;2753;50,99;47,97;6,02;53,99
24;310;N-O;3;57,73;0;B;2D+2B;Disponible;3343;--;--;48,67;9,06;57,73
102;401;O-S;4;54,8;0;B;2D+2B;Promesado;3075;3075;56,11;48,19;6,61;54,8
25;402;S;4;54,78;0;B;2D+2B;Disponible;3134;--;--;48,25;6,53;54,78
26;403;S;4;55,04;0;B;2D+2B;Bloqueado;3192;--;--;48,5;6,54;55,04
27;404;S;4;54,56;0;B;2D+2B;Promesado;2386;2386;43,73;48,5;6,06;54,56
94;405;N-P;4;62,62;0;B;2D+2B;Bloqueado;3632;--;--;54,12;8,5;62,62
28;406;N;4;54,55;0;B;2D+2B;Bloqueado;3945;--;--;48,53;6,02;54,55
95;407;N;4;53,87;0;B;2D+2B;Promesado;2244;2244;41,66;47,89;5,98;53,87
96;409;N;4;53,99;0;B;2D+2B;Promesado;2248;2248;41,64;47,97;6,02;53,99
97;410;N-O;4;57,73;0;B;2D+2B;Bloqueado;3354;--;--;48,67;9,06;57,73
98;501;O-S;5;54,8;0;B;2D+2B;Promesado;2850;2534;46,24;48,19;6,61;54,8
30;502;S;5;51,515;0;B;2D+2B;Promesado;2679;2529,55;49,1;48,25;6,53;51,515
31;503;S;5;51,77;0;B;2D+2B;Promesado;2692;2391,8;46,2;48,5;6,54;51,77
32;504;S;5;54,56;0;B;2D+2B;Bloqueado;3182;--;--;48,5;6,06;54,56
33;505;N-P;5;58,37;0;B;2D+2B;Bloqueado;3385;--;--;54,12;8,5;58,37
34;506;N;5;54,55;0;B;2D+2B;Bloqueado;3282;--;--;--;6,02;54,55
99;507;N;5;53,87;0;B;2D+2B;Promesado;2297;2297;42,64;47,89;5,98;53,87
35;508;N;5;43;0;B;2D+2B;Promesado;2193;2193;51;43;--;43
36;509;N;5;53,99;0;B;2D+2B;Disponible;3265;--;--;47,97;6,02;53,99
100;510;N-O;5;57,73;0;B;2D+2B;Disponible;3466;--;--;48,67;9,06;57,73
;;;;2501,04;0;;;;131265;56396,35;1068,06;;;
;;;;;;;;;;;;;;
Producto;;UF;Nº;;;;Ventas Realizadas;56396,35;;;;;;
Estacionamientos ;;9050;29;;;;Saldo por Vender;74868,65;;;;;;
;;;;;;;UF/M2 sin estac;52,48;;;;;;
;;;;;;;UF/M2 con estac;52,48;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Productos Secundarios;;;;;;;;;;;;;;
Cod;Nombre;Asociado a;Estado;;;;;;;;;;;
57;ESTACIONAMIENTO 03;SUBAGRUPACION;Bloqueado;;;;;;;;;;;
58;ESTACIONAMIENTO 04;SUBAGRUPACION;Vendido;;;;;;;;;;;
59;ESTACIONAMIENTO 05;SUBAGRUPACION;Bloqueado;;;;;;;;;;;
17;ESTACIONAMIENTO 06;SUBAGRUPACION;Reservado;;;;;;;;;;;
24;ESTACIONAMIENTO 07;SUBAGRUPACION;Vendido;;;;;;;;;;;
9;ESTACIONAMIENTO 08;SUBAGRUPACION;Vendido;;;;;;;;;;;
21;ESTACIONAMIENTO 09;SUBAGRUPACION;Vendido;;;;;;;;;;;
18;ESTACIONAMIENTO 10;SUBAGRUPACION;Vendido;;;;;;;;;;;
16;ESTACIONAMIENTO 11;SUBAGRUPACION;Vendido;;;;;;;;;;;
1;ESTACIONAMIENTO 12;SUBAGRUPACION;Vendido;;;;;;;;;;;
2;ESTACIONAMIENTO 13;SUBAGRUPACION;Disponible;;;;;;;;;;;
3;ESTACIONAMIENTO 14;SUBAGRUPACION;Vendido;;;;;;;;;;;
4;ESTACIONAMIENTO 15;SUBAGRUPACION;Bloqueado;;;;;;;;;;;
5;ESTACIONAMIENTO 16;SUBAGRUPACION;Bloqueado;;;;;;;;;;;
11;ESTACIONAMIENTO 17;SUBAGRUPACION;Vendido;;;;;;;;;;;
12;ESTACIONAMIENTO 18;SUBAGRUPACION;Vendido;;;;;;;;;;;
25;ESTACIONAMIENTO 19;SUBAGRUPACION;Vendido;;;;;;;;;;;
23;ESTACIONAMIENTO 20;SUBAGRUPACION;Vendido;;;;;;;;;;;
22;ESTACIONAMIENTO 21;SUBAGRUPACION;Vendido;;;;;;;;;;;
20;ESTACIONAMIENTO 22;SUBAGRUPACION;Bloqueado;;;;;;;;;;;
26;ESTACIONAMIENTO 23;SUBAGRUPACION;Disponible;;;;;;;;;;;
19;ESTACIONAMIENTO 24;SUBAGRUPACION;Vendido;;;;;;;;;;;
13;ESTACIONAMIENTO 25;SUBAGRUPACION;Vendido;;;;;;;;;;;
14;ESTACIONAMIENTO 26;SUBAGRUPACION;Vendido;;;;;;;;;;;
15;ESTACIONAMIENTO 27;SUBAGRUPACION;Vendido;;;;;;;;;;;
6;ESTACIONAMIENTO 28;SUBAGRUPACION;Reservado;;;;;;;;;;;
7;ESTACIONAMIENTO 29;SUBAGRUPACION;Disponible;;;;;;;;;;;
8;ESTACIONAMIENTO 30;SUBAGRUPACION;Disponible;;;;;;;;;;;
60;ESTACIONAMIENTO 31;SUBAGRUPACION;Disponible;;;;;;;;;;;
